Hour,Indoor_Temp_C,Outdoor_Temp_C,Ventilation_Cooling_kW
0,37.29,29.36,0.30
1,37.77,29.21,0.32
2,38.23,29.13,0.35
3,38.65,28.88,0.37
4,37.55,28.43,2.85
5,36.64,28.39,2.57
6,35.91,28.59,2.28
7,35.27,28.44,2.12
8,34.75,28.67,1.89
9,34.34,28.87,1.70
10,34.00,28.97,1.56
11,33.66,28.79,1.51
12,33.27,28.23,1.56
13,32.91,28.08,1.50
14,32.60,28.13,1.38
15,32.99,28.38,0.17
16,33.55,28.39,0.19
17,34.24,28.54,0.21
18,34.88,29.58,0.20
19,35.23,29.64,0.21
20,35.62,29.65,0.23
21,36.07,29.58,0.25
22,36.57,29.39,0.27
23,37.08,29.21,0.30
