Month,Q_heating_load,Q_cooling_load,Q_sol_gain
1,16.955281726907835,0.0,0.11514648556048951
2,4.262089331374102,0.0,0.3000756231897953
3,3.9621407180595245,0.0,0.3235196412271996
4,1.0931564938083036,0.6735733268376485,0.3417560653276227
5,0.010977103464395847,1.1985346737642801,0.30280929690141395
6,0.0,9.173356509119719,0.2580747531099809
7,0.0,2.6653325991560846,0.1504256020536924
8,0.0,2.3841038137538866,0.15801302173569265
9,0.0,5.075473719082383,0.27276626919613733
10,2.831314200969093,2.052098109215919,0.2565035965123651
11,14.763974006355772,0.0,0.07761668747419295
12,20.909156910819778,0.0,0.06915077227051004
